ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;1;jan/22;01/01/2022 01:12;01/01/2022 01:12;31/12/2021;;A NOITE;01/01/2022;01/01/2022 01:12;Desconhecida;Não;;RUA DOUTOR COSTA VALENTE;46;BRAS;S.PAULO;SP;-23,54144726;-46,60993297;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;81º D.P. BELEM;08º D.P. BRAS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EIM2A00;SP;FRANCISCO MORATO;Vermelho;FIAT/UNO ELETRONIC;1994;1994;AUTOMOVEL;;
2022;2;fev/22;01/01/2022 00:17;01/01/2022 02:53;31/12/2021;23:10;A NOITE;01/01/2022;01/01/2022 00:17;Conhecida;Sim;;AVENIDA PRESIDENTE WILSON;1668;IPIRANGA;S.PAULO;SP;-23,56904801;-46,60426383;Via pública;IC-IML;BO PARA FLAGRANTE;16º D.P. VILA CLEMENTINO;17º D.P. DOUTOR ALDO GALIANO;Acidente de trânsito;Choque;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;2;fev/22;01/01/2022 00:17;01/01/2022 02:53;31/12/2021;23:10;A NOITE;01/01/2022;01/01/2022 00:17;Conhecida;Sim;;AVENIDA PRESIDENTE WILSON;1668;IPIRANGA;S.PAULO;SP;-23,56904801;-46,60426383;Via pública;IC-IML;BO PARA FLAGRANTE;16º D.P. VILA CLEMENTINO;17º D.P. DOUTOR ALDO GALIANO;Acidente de trânsito;Choque;;Consumado;;;;;;;;;;;;;;;;CSU8900;SP;S.PAULO;Verde;GM/CORSA WIND;1999;1999;AUTOMOVEL;;
2022;2;fev/22;01/01/2022 00:17;01/01/2022 02:53;31/12/2021;23:10;A NOITE;01/01/2022;01/01/2022 00:17;Conhecida;Sim;;AVENIDA PRESIDENTE WILSON;1668;IPIRANGA;S.PAULO;SP;-23,56904801;-46,60426383;Via pública;IC-IML;BO PARA FLAGRANTE;16º D.P. VILA CLEMENTINO;17º D.P. DOUTOR ALDO GALIANO;L 9503/97 - Código de Trânsito Brasileiro;Dirigir sem Permissão ou Habilitação (Art. 309);;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;2;fev/22;01/01/2022 00:17;01/01/2022 02:53;31/12/2021;23:10;A NOITE;01/01/2022;01/01/2022 00:17;Conhecida;Sim;;AVENIDA PRESIDENTE WILSON;1668;IPIRANGA;S.PAULO;SP;-23,56904801;-46,60426383;Via pública;IC-IML;BO PARA FLAGRANTE;16º D.P. VILA CLEMENTINO;17º D.P. DOUTOR ALDO GALIANO;L 9503/97 - Código de Trânsito Brasileiro;Dirigir sem Permissão ou Habilitação (Art. 309);;Consumado;;;;;;;;;;;;;;;;CSU8900;SP;S.PAULO;Verde;GM/CORSA WIND;1999;1999;AUTOMOVEL;;
2022;2;fev/22;01/01/2022 00:17;01/01/2022 02:53;31/12/2021;23:10;A NOITE;01/01/2022;01/01/2022 00:17;Conhecida;Sim;;AVENIDA PRESIDENTE WILSON;1668;IPIRANGA;S.PAULO;SP;-23,56904801;-46,60426383;Via pública;IC-IML;BO PARA FLAGRANTE;16º D.P. VILA CLEMENTINO;17º D.P. DOUTOR ALDO GALIANO;L 9503/97 - Código de Trânsito Brasileiro;Embriaguez ao volante (Art. 306);;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;2;fev/22;01/01/2022 00:17;01/01/2022 02:53;31/12/2021;23:10;A NOITE;01/01/2022;01/01/2022 00:17;Conhecida;Sim;;AVENIDA PRESIDENTE WILSON;1668;IPIRANGA;S.PAULO;SP;-23,56904801;-46,60426383;Via pública;IC-IML;BO PARA FLAGRANTE;16º D.P. VILA CLEMENTINO;17º D.P. DOUTOR ALDO GALIANO;L 9503/97 - Código de Trânsito Brasileiro;Embriaguez ao volante (Art. 306);;Consumado;;;;;;;;;;;;;;;;CSU8900;SP;S.PAULO;Verde;GM/CORSA WIND;1999;1999;AUTOMOVEL;;
2022;2;fev/22;01/01/2022 00:17;01/01/2022 02:53;31/12/2021;23:10;A NOITE;01/01/2022;01/01/2022 00:17;Conhecida;Sim;;AVENIDA PRESIDENTE WILSON;1668;IPIRANGA;S.PAULO;SP;-23,56904801;-46,60426383;Via pública;IC-IML;BO PARA FLAGRANTE;16º D.P. VILA CLEMENTINO;17º D.P. DOUTOR ALDO GALIANO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;"§ 4º II - Com abuso de confiança, ou mediante fraude, escalada ou destreza;";Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;2;fev/22;01/01/2022 00:17;01/01/2022 02:53;31/12/2021;23:10;A NOITE;01/01/2022;01/01/2022 00:17;Conhecida;Sim;;AVENIDA PRESIDENTE WILSON;1668;IPIRANGA;S.PAULO;SP;-23,56904801;-46,60426383;Via pública;IC-IML;BO PARA FLAGRANTE;16º D.P. VILA CLEMENTINO;17º D.P. DOUTOR ALDO GALIANO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;"§ 4º II - Com abuso de confiança, ou mediante fraude, escalada ou destreza;";Consumado;;;;;;;;;;;;;;;;CSU8900;SP;S.PAULO;Verde;GM/CORSA WIND;1999;1999;AUTOMOVEL;;
2022;1;jan/22;01/01/2022 02:59;01/01/2022 02:59;31/12/2021;17:40;A TARDE;31/12/2021;01/01/2022 02:59;Conhecida;Sim;;AVENIDA LIDER;6751;CIDADE LIDER;S.PAULO;SP;-23,55701484;-46,48422192;Comércio e serviços;;BO PARA FLAGRANTE;53º D.P. PARQUE DO CARMO;66º D.P. JDIM ARICANDUVA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FAT1G45;SP;S.PAULO;Vermelho;HONDA/CG 160 FAN;2021;2021;MOTOCICLO;;
2022;197;197/2022;01/01/2022 04:51;01/01/2022 04:51;31/12/2021;18:23;A NOITE;01/01/2022;01/01/2022 04:51;Desconhecida;Não;;AVENIDA NORDESTINA;3745;CIDADE SÃO MIGUEL;S.PAULO;SP;-23,5132197;-46,4262004;Estacionamento particular;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;67º D.P. JARDIM ROBRU;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;CFA8497;SP;SÃO PAULO;Vermelho;FIAT/UNO MILLE EP;1996;;AUTOMOVEL;;
2022;247;247/2022;01/01/2022 06:31;01/01/2022 06:32;01/01/2022;01:30;DE MADRUGADA;01/01/2022;01/01/2022 06:31;Desconhecida;Não;;RUA ESPERANTINOPOLIS;84;ARTUR ALVIM;S.PAULO;SP;;;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;65º D.P. ARTUR ALVIM;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EZJ9G29;SP;SÃO PAULO;Branco;FORD/FORD;2020;;AUTOMOVEL;;
2022;353;353/2022;01/01/2022 08:50;01/01/2022 08:50;10/11/2021;23:45;A NOITE;01/01/2022;01/01/2022 08:50;Desconhecida;Não;;RUA PROFESSOR VASCO RAIMUNDO DE BRITO;77;MANDAQUI;S.PAULO;SP;-23,47206225;-46,63935684;Estacionamento público;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;38º D.P. VILA AMALIA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FRE0171;SP;SÃO PAULO;Preta;HONDA/CB 300R;2010;;MOTOCICLO;;
2022;8;ago/22;01/01/2022 09:31;01/01/2022 09:31;01/01/2022;09:00;PELA MANHÃ;01/01/2022;01/01/2022 09:31;Desconhecida;Não;;AVENIDA AFONSO DE SAMPAIO E SOUSA;951;PARQUE DO CARMO;S.PAULO;SP;-23,56530697;-46,46764056;Lazer e recreação;;BO PARA INVESTIGAÇÃO;53º D.P. PARQUE DO CARMO;53º D.P. PARQUE DO CARMO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FFN0C47;SP;S.PAULO;Cinza;VW/NIVUS HL TSI AD;2021;2022;AUTOMOVEL;;
2022;552;552/2022;01/01/2022 11:11;01/01/2022 11:11;01/01/2022;04:00;DE MADRUGADA;01/01/2022;01/01/2022 11:11;Desconhecida;Não;;RUA FERNANDES CORREIA DIAS;15;JARDIM MANGALOT;S.PAULO;SP;-23,4875594;-46,7477118;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;33º D.P. PIRITUBA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FYH6467;SP;SÃO PAULO;Preta;HYUNDAI/TUCSON TURBO GL;2017;;AUTOMOVEL;;
