ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;1552995;1552995/2022;01/09/2022 00:06;01/09/2022 00:06;30/08/2022;11:30;PELA MANHÃ;31/08/2022;01/09/2022 00:06;Desconhecida;Não;;RUA GIACOMO COZZARELLI;250;SACOMA;S.PAULO;SP;-23,65386192;-46,60294597;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;83º D.P. PARQUE BRISTOL;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;CVE2717;SP;S.PAULO;Cinza;FIAT/PALIO EX;2000;;AUTOMOVEL;;
2022;1553000;1553000/2022;01/09/2022 00:21;01/09/2022 00:21;31/08/2022;11:00;PELA MANHÃ;31/08/2022;01/09/2022 00:21;Desconhecida;Não;;Avenida Thomas Edison;1250;Barra Funda;S.PAULO;SP;-23,5171932;-46,6695513;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;23º D.P. PERDIZES;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EOF3C28;SP;SOROCABA;Azul;YAMAHA/XTZ150 CROSSER Z;2019;;MOTOCICLO;;
2022;1553001;1553001/2022;01/09/2022 00:23;01/09/2022 00:23;31/08/2022;10:20;PELA MANHÃ;31/08/2022;01/09/2022 00:23;Desconhecida;Não;;Rua Milton da Cruz;585;Jardim Planalto;S.PAULO;SP;-23,6092938;-46,5123887;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;70º D.P. VILA EMA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FCL3E07;SP;S.PAULO;Branco;CHEVROLET/ONIX 1.0MT LT;2017;;AUTOMOVEL;;
2022;1553017;1553017/2022;01/09/2022 00:33;01/09/2022 00:33;31/08/2022;22:00;A NOITE;31/08/2022;01/09/2022 00:33;Desconhecida;Não;;RUA INACIO MACIEL;73;VILA JACUI;S.PAULO;SP;-23,5000186;-46,45651114;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;63º D.P. VILA JACUI;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GFL1E26;SP;ITAQUAQUECETUBA;Prata;FORD/KA SEL 1.5 SD B;2017;;AUTOMOVEL;;
2022;1553018;1553018/2022;01/09/2022 00:33;01/09/2022 00:33;31/08/2022;21:10;A NOITE;31/08/2022;01/09/2022 00:33;Desconhecida;Não;;RUA COMENDADOR ELIAS ZARZUR;140;SANTO AMARO;S.PAULO;SP;-23,63481087;-46,69030011;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;11º D.P. SANTO AMARO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;CPU8284;SP;COSMOPOLIS;Prata;GM/CORSA WIND;1997;;AUTOMOVEL;;
2022;1553119;1553119/2022;01/09/2022 01:15;01/09/2022 01:15;31/08/2022;21:42;A NOITE;01/09/2022;01/09/2022 01:15;Desconhecida;Não;;RUA LICURGO DE CASTRO SANTOS;106;SAO LUCAS;S.PAULO;SP;-23,58639031;-46,54113127;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;42º D.P. PARQUE S. LUCAS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;QNH4022;SP;S.PAULO;Preta;CHEVROLET/ONIX 1.0MT LT;2017;;AUTOMOVEL;;
2022;1553158;1553158/2022;01/09/2022 01:21;01/09/2022 01:21;31/08/2022;18:40;A NOITE;01/09/2022;01/09/2022 01:21;Desconhecida;Não;;RUA GUAIPA;678;VILA LEOPOLDINA;S.PAULO;SP;-23,52118573;-46,72884499;Estacionamento público;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;91º D.P. CEASA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EFI8779;SP;ITAPEVI;Cinza;HONDA/CG 160 FAN;2018;;MOTOCICLO;;
2022;6293;6293/2022;01/09/2022 01:48;01/09/2022 01:48;31/08/2022;21:27;A NOITE;01/09/2022;01/09/2022 01:48;Desconhecida;Não;5777/2022 - 10342;RUA AUGUSTA;677;CONSOLACAO;S.PAULO;SP;-23,55627608;-46,65826894;Via pública;;BO PARA REGISTRO;78º D.P. JARDINS;78º D.P. JARDINS;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;6293;6293/2022;01/09/2022 01:48;01/09/2022 01:48;31/08/2022;21:27;A NOITE;01/09/2022;01/09/2022 01:48;Desconhecida;Não;5777/2022 - 10342;RUA AUGUSTA;677;CONSOLACAO;S.PAULO;SP;-23,55627608;-46,65826894;Via pública;;BO PARA REGISTRO;78º D.P. JARDINS;78º D.P. JARDINS;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;DRT1658;SP;S.PAULO;Verde;FIAT/PALIO FIRE FLEX;2006;2007;AUTOMOVEL;;
2022;6293;6293/2022;01/09/2022 01:48;01/09/2022 01:48;31/08/2022;21:27;A NOITE;01/09/2022;01/09/2022 01:48;Desconhecida;Não;5777/2022 - 10342;RUA AUGUSTA;677;CONSOLACAO;S.PAULO;SP;-23,55627608;-46,65826894;Via pública;;BO PARA REGISTRO;78º D.P. JARDINS;78º D.P. JARDINS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
