ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;705;705/2022;01/05/2022 00:30;01/05/2022 00:30;25/04/2022;03:29;DE MADRUGADA;25/04/2022;01/05/2022 00:30;Desconhecida;Não;662/2022 - 10349;;0;CIDADE DUTRA;S.PAULO;SP;;;Residência;;BO PARA INVESTIGAÇÃO;85º D.P. JARDIM MIRNA;48º D.P. CIDADE DUTRA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;;;;;;;;;;
2022;3659;3659/2022;01/05/2022 01:17;01/05/2022 01:17;30/04/2022;22:30;A NOITE;01/05/2022;01/05/2022 01:17;Conhecida;Não;;AVENIDA FIM DE SEMANA;100;JD SÃO LUIS;S.PAULO;SP;-23,6582159;-46,74698335;Via pública;;BO PARA INVESTIGAÇÃO;47º D.P. CAPAO REDONDO;92º D.P. PQ. SANTO ANTONIO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EKK7857;SP;S.PAULO;Prata;RENAULT/SANDERO AUT1016V;2009;2009;AUTOMOVEL;;
2022;2960;2960/2022;01/05/2022 01:41;01/05/2022 01:41;30/04/2022;16:43;A TARDE;30/04/2022;01/05/2022 01:41;Conhecida;Sim;;Viaduto Jaceguai;1;Bela Vista;S.PAULO;SP;-23,5560627;-46,6377033;Via pública;;BO PARA FLAGRANTE;78º D.P. JARDINS;05º D.P. ACLIMACAO;L 11343/06 - Entorpecentes;Drogas para consumo pessoal sem autorização ou em desacordo (Art.28,caput);;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;2960;2960/2022;01/05/2022 01:41;01/05/2022 01:41;30/04/2022;16:43;A TARDE;30/04/2022;01/05/2022 01:41;Conhecida;Sim;;Viaduto Jaceguai;1;Bela Vista;S.PAULO;SP;-23,5560627;-46,6377033;Via pública;;BO PARA FLAGRANTE;78º D.P. JARDINS;05º D.P. ACLIMACAO;L 11343/06 - Entorpecentes;Drogas para consumo pessoal sem autorização ou em desacordo (Art.28,caput);;Consumado;;;;;;;;;;;;;;;;ENI8D30;SP;S.PAULO;Prata;HONDA/XRE 300 ABS;2019;2019;MOTOCICLO;;
2022;2960;2960/2022;01/05/2022 01:41;01/05/2022 01:41;30/04/2022;16:43;A TARDE;30/04/2022;01/05/2022 01:41;Conhecida;Sim;;Viaduto Jaceguai;1;Bela Vista;S.PAULO;SP;-23,5560627;-46,6377033;Via pública;;BO PARA FLAGRANTE;78º D.P. JARDINS;05º D.P. ACLIMACAO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;2960;2960/2022;01/05/2022 01:41;01/05/2022 01:41;30/04/2022;16:43;A TARDE;30/04/2022;01/05/2022 01:41;Conhecida;Sim;;Viaduto Jaceguai;1;Bela Vista;S.PAULO;SP;-23,5560627;-46,6377033;Via pública;;BO PARA FLAGRANTE;78º D.P. JARDINS;05º D.P. ACLIMACAO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;ENI8D30;SP;S.PAULO;Prata;HONDA/XRE 300 ABS;2019;2019;MOTOCICLO;;
2022;968974;968974/2022;01/05/2022 03:10;01/05/2022 03:10;30/04/2022;21:30;A NOITE;01/05/2022;01/05/2022 03:10;Desconhecida;Não;;TRAVESSA QUEIROGA;10;BRAS;S.PAULO;SP;-23,54744118;-46,62550454;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;12º D.P. PARI;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FTQ4J77;SP;SÃO PAULO;Branco;HONDA/PCX 150;2014;;MOTOCICLO;;
2022;3664;3664/2022;01/05/2022 03:13;01/05/2022 03:13;01/05/2022;02:00;DE MADRUGADA;01/05/2022;01/05/2022 03:13;Desconhecida;Não;;RUA CELSO MESQUITA LEITE;246;CAMPO LIMPO;S.PAULO;SP;-23,62999588;-46,76675064;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;47º D.P. CAPAO REDONDO;37º D.P. CAMPO LIMPO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FBC7730;SP;EMBU-GUACU;Cinza;FIAT/UNO ELETRONIC;1994;1994;AUTOMOVEL;;
2022;3384;3384/2022;01/05/2022 03:53;01/05/2022 03:53;01/05/2022;00:30;DE MADRUGADA;01/05/2022;01/05/2022 03:53;Desconhecida;Não;;RUA PROFESSOR ROMEU PELEGRINI;194;IPIRANGA;S.PAULO;SP;-23,58139371;-46,61379091;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;16º D.P. VILA CLEMENTINO;06º D.P. CAMBUCI;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EUZ5584;SP;VALINHOS;Branco;CHEVROLET/ONIX 1.4MT LT;2018;2019;AUTOMOVEL;;
2022;969002;969002/2022;01/05/2022 04:10;01/05/2022 04:10;01/05/2022;00:00;DE MADRUGADA;01/05/2022;01/05/2022 04:10;Desconhecida;Não;;RUA PRAIA DE MURUBIRA;69;JARDIM PÉROLA II;S.PAULO;SP;;;Garagem ou abrigo de residência;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;87º D.P. V. P. BARRETO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EWC8G17;SP;SÃO PAULO;Amarelo;HONDA/CG 160 TITAN;2022;;MOTOCICLO;;
