ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;2043874;2043874/2022;01/12/2022 00:03;01/12/2022 00:03;30/11/2022;00:00;DE MADRUGADA;30/11/2022;01/12/2022 00:03;Desconhecida;Não;;RUA HUGO GUEDES DA CRUZ;21;CIDADE DUTRA;S.PAULO;SP;-23,72224636;-46,69405226;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;101º D.P. JDIM IMBUIAS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;CHD6410;SP;S.PAULO;Branco;GM/S10 2.2 S;1997;;AUTOMOVEL;;
2022;2043883;2043883/2022;01/12/2022 00:09;01/12/2022 00:09;30/11/2022;21:30;A NOITE;30/11/2022;01/12/2022 00:09;Desconhecida;Não;;RUA ACARAJE;158;IPIRANGA;S.PAULO;SP;-23,60362813;-46,61312592;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;95º D.P. HELIÓPOLIS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GHD5J04;SP;S.BERNARDO DO CAMPO;Cinza;HYUNDAI/HB20 10M VISION;2020;;AUTOMOVEL;;
2022;1594;1594/2022;01/12/2022 00:12;01/12/2022 00:12;29/11/2022;;A TARDE;01/12/2022;01/12/2022 00:12;Conhecida;Não;;Rua Desembargador Joaquim Bandeira de Me;656;Conjunto Residencial Vista Verde;S.PAULO;SP;-23,4744774;-46,7497826;Comércio e serviços;;ENCAMINHAMENTO DP ÁREA DO FATO;DEL.POL.BIRITIBA MIRIM;33º D.P. PIRITUBA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;RTT0B48;MG;BELO HORIZONTE;Branco;I/CITROEN C4 L EP6F;;;UTILITÁRIO;;
2022;2043887;2043887/2022;01/12/2022 00:15;01/12/2022 00:15;30/11/2022;20:00;A NOITE;30/11/2022;01/12/2022 00:15;Desconhecida;Não;;Rua Soldado Ocimar Guimarães da Silva;37;Vila Rio Branco;S.PAULO;SP;-23,5643825;-46,5622604;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;29º D.P. VILA PRUDENTE;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FOT7711;SP;S.PAULO;Branco;FIAT/PALIO FIRE;2016;;AUTOMOVEL;;
2022;6369;6369/2022;01/12/2022 00:34;01/12/2022 00:34;28/11/2022;16:00;A TARDE;01/12/2022;01/12/2022 00:34;Desconhecida;Não;;RUA BAIXADA SANTISTA;91;ITAQUERA;S.PAULO;SP;-23,54693325;-46,45553962;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;24º D.P. PONTE RASA;32º D.P. ITAQUERA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;QQA1H75;SP;S.PAULO;Cinza;CHEV/PRISMA 10MT JOYE;2019;2019;AUTOMOVEL;;
2022;7030;7030/2022;01/12/2022 00:38;01/12/2022 00:38;30/11/2022;19:40;A NOITE;30/11/2022;01/12/2022 00:38;Desconhecida;Não;7029/2022 - 10362;RUA PIRES DELGADO;33;SAPOPEMBA;S.PAULO;SP;-23,60110291;-46,51900143;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;69º D.P. TEOTONIO VILELA;70º D.P. VILA EMA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DGY6071;SP;S.PAULO;Branco;HYUNDAI/HB20 10M VISION;2019;2020;AUTOMOVEL;;
2022;2043910;2043910/2022;01/12/2022 00:42;01/12/2022 00:42;25/11/2022;03:25;DE MADRUGADA;01/12/2022;01/12/2022 00:42;Desconhecida;Não;;RUA GASPAR DOS SANTOS;84;SAPOPEMBA;S.PAULO;SP;;;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;41º D.P. VILA RICA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GFB1B50;SP;S.PAULO;Vermelho;YAMAHA/XJ6 F ABS;2015;;MOTOCICLO;;
2022;2043911;2043911/2022;01/12/2022 00:42;01/12/2022 00:43;30/11/2022;20:30;A NOITE;01/12/2022;01/12/2022 00:42;Desconhecida;Não;;Rua Barão Machado de Antonina;12;Vila Hortência;S.PAULO;SP;;;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;54º D.P. CID. TIRADENTES;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EJO3890;SP;S.PAULO;Preta;HONDA/CG 125 FAN KS;2009;;MOTOCICLO;;
2022;2043912;2043912/2022;01/12/2022 00:44;01/12/2022 00:44;30/11/2022;20:40;A NOITE;30/11/2022;01/12/2022 00:44;Desconhecida;Não;;RUA ITAQUERI;1302;BELEM;S.PAULO;SP;-23,54948152;-46,58205866;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;57º D.P. PARQUE DA MOOCA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;PYM1414;SP;S.PAULO;Branco;FIAT/IDEA ADVENTURE 1.8;2016;;AUTOMOVEL;;
2022;2043914;2043914/2022;01/12/2022 00:45;01/12/2022 00:45;30/11/2022;09:00;PELA MANHÃ;01/12/2022;01/12/2022 00:45;Desconhecida;Não;;RUA CONSELHEIRO COTEGIPE;329;BELEM;S.PAULO;SP;-23,53825291;-46,59048173;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;81º D.P. BELEM;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EKL6848;SP;S.PAULO;Preta;FIAT/PALIO FIRE ECONOMY;2009;;AUTOMOVEL;;
