ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;233281;233281/2022;01/02/2022 00:03;01/02/2022 00:03;31/01/2022;17:00;A TARDE;31/01/2022;01/02/2022 00:03;Desconhecida;Não;;AVENIDA PROFESSOR VICENTE RAO;2400;CAMPO BELO;S.PAULO;SP;-23,63746094;-46,67707571;Estacionamento particular;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;"27º DP ""DR. IGNÁCIO FRANCISCO""";Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DYV1002;SP;SÃO PAULO;Fantasia;YAMAHA/XT 660R;2007;;MOTOCICLO;;
2022;233378;233378/2022;01/02/2022 00:27;01/02/2022 00:26;31/01/2022;22:40;A NOITE;01/02/2022;01/02/2022 00:27;Desconhecida;Não;;RUA FELISBELA GONÇALVES;400;JARDIM ANALIA FRANCO;S.PAULO;SP;-23,5587809;-46,5579978;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;30º D.P. TATUAPE;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FAG6533;SP;SÃO PAULO;Vermelho;I/CHEVROLET AGILE LT;;;AUTOMOVEL;;
2022;322;322/2022;01/02/2022 00:16;01/02/2022 00:46;31/01/2022;22:40;A NOITE;01/02/2022;01/02/2022 00:16;Desconhecida;Não;;RUA JORGE SILVA LUZ;332;SAO LUCAS;S.PAULO;SP;-23,61285833;-46,52424387;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;02º D.P. SANTO ANDRÉ;70º D.P. VILA EMA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;QQV1G40;SP;S.PAULO;Prata;CHEVROLET/ONIX 10MT JOYE;2019;2019;AUTOMOVEL;;
2022;233475;233475/2022;01/02/2022 00:59;01/02/2022 00:59;31/01/2022;21:10;A NOITE;01/02/2022;01/02/2022 00:59;Desconhecida;Não;;RUA PROFESSOR EURICO VILLELA;84;SAO LUCAS;S.PAULO;SP;;;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;42º D.P. PARQUE S. LUCAS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EXR0985;SP;SÃO CAETANO DO SUL;Branco;CHEVROLET/ONIX 1.0MT LT;2019;;AUTOMOVEL;;
2022;454;454/2022;31/01/2022 20:32;01/02/2022 01:47;31/01/2022;17:00;A TARDE;31/01/2022;31/01/2022 20:32;Conhecida;Sim;;AVENIDA QUEIROZ FILHO;1320;ALTO DE PINHEIROS;S.PAULO;SP;-23,54127945;-46,72979263;Via pública;IC-IML;BO PARA FLAGRANTE;91º D.P. CEASA;91º D.P. CEASA;Localização e/ou Devolução;Localização/Apreensão de objeto;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;454;454/2022;31/01/2022 20:32;01/02/2022 01:47;31/01/2022;17:00;A TARDE;31/01/2022;31/01/2022 20:32;Conhecida;Sim;;AVENIDA QUEIROZ FILHO;1320;ALTO DE PINHEIROS;S.PAULO;SP;-23,54127945;-46,72979263;Via pública;IC-IML;BO PARA FLAGRANTE;91º D.P. CEASA;91º D.P. CEASA;Localização e/ou Devolução;Localização/Apreensão de objeto;;Consumado;;;;;;;;;;;;;;;;DTN7622;SP;MAUA;Preta;YAMAHA/YBR 125K;2006;2007;MOTOCICLO;;
2022;454;454/2022;31/01/2022 20:32;01/02/2022 01:47;31/01/2022;17:00;A TARDE;31/01/2022;31/01/2022 20:32;Conhecida;Sim;;AVENIDA QUEIROZ FILHO;1320;ALTO DE PINHEIROS;S.PAULO;SP;-23,54127945;-46,72979263;Via pública;IC-IML;BO PARA FLAGRANTE;91º D.P. CEASA;91º D.P. CEASA;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;454;454/2022;31/01/2022 20:32;01/02/2022 01:47;31/01/2022;17:00;A TARDE;31/01/2022;31/01/2022 20:32;Conhecida;Sim;;AVENIDA QUEIROZ FILHO;1320;ALTO DE PINHEIROS;S.PAULO;SP;-23,54127945;-46,72979263;Via pública;IC-IML;BO PARA FLAGRANTE;91º D.P. CEASA;91º D.P. CEASA;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;DTN7622;SP;MAUA;Preta;YAMAHA/YBR 125K;2006;2007;MOTOCICLO;;
2022;454;454/2022;31/01/2022 20:32;01/02/2022 01:47;31/01/2022;17:00;A TARDE;31/01/2022;31/01/2022 20:32;Conhecida;Sim;;AVENIDA QUEIROZ FILHO;1320;ALTO DE PINHEIROS;S.PAULO;SP;-23,54127945;-46,72979263;Via pública;IC-IML;BO PARA FLAGRANTE;91º D.P. CEASA;91º D.P. CEASA;Título II - Patrimônio (arts. 155 a 183);Furto qualificado (art. 155, §4o.) - VEICULO;§4o. Se o crime é cometido:;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;454;454/2022;31/01/2022 20:32;01/02/2022 01:47;31/01/2022;17:00;A TARDE;31/01/2022;31/01/2022 20:32;Conhecida;Sim;;AVENIDA QUEIROZ FILHO;1320;ALTO DE PINHEIROS;S.PAULO;SP;-23,54127945;-46,72979263;Via pública;IC-IML;BO PARA FLAGRANTE;91º D.P. CEASA;91º D.P. CEASA;Título II - Patrimônio (arts. 155 a 183);Furto qualificado (art. 155, §4o.) - VEICULO;§4o. Se o crime é cometido:;Consumado;;;;;;;;;;;;;;;;DTN7622;SP;MAUA;Preta;YAMAHA/YBR 125K;2006;2007;MOTOCICLO;;
2022;233552;233552/2022;01/02/2022 01:48;01/02/2022 01:48;31/01/2022;22:30;A NOITE;01/02/2022;01/02/2022 01:48;Desconhecida;Não;;RUA CAMPINORTE;301;PIRITUBA;S.PAULO;SP;-23,46146394;-46,71724575;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;87º D.P. V. P. BARRETO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GEK1E48;SP;SÃO PAULO;Vermelho;HONDA/CG 160 TITAN;2021;;MOTOCICLO;;
2022;642;642/2022;01/02/2022 02:12;01/02/2022 02:12;31/01/2022;13:00;A TARDE;01/02/2022;01/02/2022 02:12;Desconhecida;Não;;Rua Alexandre Groppali;300;Fazenda da Juta;S.PAULO;SP;-23,6137123;-46,4888674;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;69º D.P. TEOTONIO VILELA;69º D.P. TEOTONIO VILELA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FST0D19;SP;S.PAULO;Preta;FIAT/UNO WAY 1.4;2014;2015;AUTOMOVEL;;
2022;233655;233655/2022;01/02/2022 05:02;01/02/2022 05:02;01/02/2022;02:00;DE MADRUGADA;01/02/2022;01/02/2022 05:02;Desconhecida;Não;;AVENIDA DOUTOR BERNARDINO BRITO FONSECA;1661;VILA MATILDE;S.PAULO;SP;-23,54268248;-46,51090541;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;21º D.P. VILA MATILDE;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FQO0A93;SP;SÃO PAULO;Preta;HYUNDAI/HB20 1.0M COMFOR;2014;;AUTOMOVEL;;
2022;233576;233576/2022;01/02/2022 02:02;01/02/2022 05:21;31/01/2022;23:50;A NOITE;01/02/2022;01/02/2022 02:02;Desconhecida;Não;;RUA ATUAI;966;PENHA DE FRANÇA;S.PAULO;SP;-23,5306898;-46,5288068;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;DELEGACIA ELETRONICA;10º D.P. PENHA DE FRANCA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GJE2357;SP;SÃO PAULO;Prata;CHEV/ONIX JOY;2016;;AUTOMOVEL;;
2022;233673;233673/2022;01/02/2022 05:48;01/02/2022 05:49;01/02/2022;04:20;DE MADRUGADA;01/02/2022;01/02/2022 05:48;Desconhecida;Não;;RUA CACHOEIRA DAS GARCAS;400;CIDADE TIRADENTES;S.PAULO;SP;;;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;54º D.P. CID. TIRADENTES;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FEF5J13;SP;SÃO PAULO;Prata;VW/VOYAGE 1.6L MB5;2020;;AUTOMOVEL;;
2022;233767;233767/2022;01/02/2022 07:41;01/02/2022 07:41;01/02/2022;04:20;DE MADRUGADA;01/02/2022;01/02/2022 07:41;Desconhecida;Não;233673/2022 - 900020;RUA CACHOEIRA DAS GARCAS;400;CIDADE TIRADENTES;S.PAULO;SP;;;Via Pública;;BO PARA ADENDO;DELEGACIA ELETRONICA;54º D.P. CID. TIRADENTES;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FEF5J13;SP;SÃO PAULO;Prata;VW/VOYAGE 1.6L MB5;2020;;AUTOMOVEL;;
2022;233770;233770/2022;01/02/2022 07:42;01/02/2022 07:43;01/02/2022;03:45;DE MADRUGADA;01/02/2022;01/02/2022 07:42;Desconhecida;Não;;RUA VIRGILIO GOMES;19;SAO MIGUEL;S.PAULO;SP;-23,49616116;-46,44967915;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;22º D.P. SAO MIGUEL PTA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;PDX4D25;SP;SÃO PAULO;Prata;CHEV/SPIN 1.8L AT LTZ;2018;;AUTOMOVEL;;
2022;233821;233821/2022;01/02/2022 08:06;01/02/2022 08:06;01/02/2022;05:50;DE MADRUGADA;01/02/2022;01/02/2022 08:06;Desconhecida;Não;;RUA CARLOS MEIRA;142;PENHA;S.PAULO;SP;-23,51939001;-46,54913329;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;10º D.P. PENHA DE FRANCA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;CJM2967;SP;GUARULHOS;Verde;FIAT/PALIO WEEKEND;1997;;AUTOMOVEL;;
